1 	 1635 	 gene1635 	 0.430
2 	 377 	 gene377 	 0.429
3 	 493 	 gene493 	 0.423
4 	 249 	 gene249 	 0.395
5 	 1843 	 gene1843 	 0.386
6 	 765 	 gene765 	 0.367
7 	 1042 	 gene1042 	 0.356
8 	 1423 	 gene1423 	 0.344
9 	 391 	 gene391 	 0.326
10 	 739 	 gene739 	 0.315
11 	 1772 	 gene1772 	 0.315
12 	 625 	 gene625 	 0.305
13 	 1892 	 gene1892 	 0.304
14 	 812 	 gene812 	 0.293
15 	 979 	 gene979 	 0.292
16 	 245 	 gene245 	 0.291
17 	 267 	 gene267 	 0.291
18 	 1582 	 gene1582 	 0.291
19 	 1494 	 gene1494 	 0.284
20 	 1771 	 gene1771 	 0.284
21 	 897 	 gene897 	 0.280
22 	 964 	 gene964 	 0.276
23 	 513 	 gene513 	 0.275
24 	 1387 	 gene1387 	 0.275
25 	 1256 	 gene1256 	 0.274
26 	 1196 	 gene1196 	 0.273
27 	 1247 	 gene1247 	 0.273
28 	 1897 	 gene1897 	 0.273
29 	 1004 	 gene1004 	 0.269
30 	 1884 	 gene1884 	 0.269
31 	 138 	 gene138 	 0.268
32 	 14 	 gene14 	 0.266
33 	 780 	 gene780 	 0.264
34 	 1014 	 gene1014 	 0.262
35 	 453 	 gene453 	 0.258
36 	 1406 	 gene1406 	 0.257
37 	 1411 	 gene1411 	 0.255
38 	 639 	 gene639 	 0.252
39 	 561 	 gene561 	 0.251
40 	 286 	 gene286 	 0.248
41 	 824 	 gene824 	 0.246
42 	 1967 	 gene1967 	 0.245
43 	 1334 	 gene1334 	 0.245
44 	 137 	 gene137 	 0.240
45 	 1473 	 gene1473 	 0.239
46 	 1614 	 gene1614 	 0.237
47 	 187 	 gene187 	 0.235
48 	 1546 	 gene1546 	 0.234
49 	 1674 	 gene1674 	 0.233
50 	 992 	 gene992 	 0.232
51 	 411 	 gene411 	 0.231
52 	 1730 	 gene1730 	 0.231
53 	 822 	 gene822 	 0.231
54 	 698 	 gene698 	 0.230
55 	 1511 	 gene1511 	 0.229
56 	 1263 	 gene1263 	 0.227
57 	 581 	 gene581 	 0.226
58 	 66 	 gene66 	 0.226
59 	 1959 	 gene1959 	 0.225
60 	 1648 	 gene1648 	 0.224
61 	 365 	 gene365 	 0.222
62 	 40 	 gene40 	 0.222
63 	 41 	 gene41 	 0.222
64 	 42 	 gene42 	 0.222
65 	 39 	 gene39 	 0.222
66 	 1668 	 gene1668 	 0.222
67 	 111 	 gene111 	 0.220
68 	 548 	 gene548 	 0.217
69 	 1353 	 gene1353 	 0.216
70 	 419 	 gene419 	 0.216
71 	 571 	 gene571 	 0.215
72 	 1421 	 gene1421 	 0.214
73 	 1770 	 gene1770 	 0.214
74 	 1111 	 gene1111 	 0.213
75 	 1451 	 gene1451 	 0.212
76 	 1974 	 gene1974 	 0.211
77 	 1153 	 gene1153 	 0.210
78 	 415 	 gene415 	 0.210
79 	 1244 	 gene1244 	 0.209
80 	 1060 	 gene1060 	 0.209
81 	 802 	 gene802 	 0.208
82 	 1839 	 gene1839 	 0.208
83 	 1285 	 gene1285 	 0.208
84 	 26 	 gene26 	 0.207
85 	 1912 	 gene1912 	 0.206
86 	 1194 	 gene1194 	 0.205
87 	 892 	 gene892 	 0.204
88 	 1325 	 gene1325 	 0.204
89 	 67 	 gene67 	 0.203
90 	 994 	 gene994 	 0.202
91 	 62 	 gene62 	 0.201
92 	 772 	 gene772 	 0.200
93 	 1943 	 gene1943 	 0.199
94 	 1414 	 gene1414 	 0.198
95 	 359 	 gene359 	 0.198
96 	 1873 	 gene1873 	 0.197
97 	 1209 	 gene1209 	 0.196
98 	 1574 	 gene1574 	 0.194
99 	 1887 	 gene1887 	 0.192
100 	 1549 	 gene1549 	 0.190
101 	 1900 	 gene1900 	 0.189
102 	 1326 	 gene1326 	 0.189
103 	 1058 	 gene1058 	 0.188
104 	 627 	 gene627 	 0.188
105 	 1671 	 gene1671 	 0.187
106 	 1002 	 gene1002 	 0.187
107 	 1370 	 gene1370 	 0.187
108 	 49 	 gene49 	 0.186
109 	 345 	 gene345 	 0.186
110 	 1799 	 gene1799 	 0.186
111 	 515 	 gene515 	 0.184
112 	 1970 	 gene1970 	 0.184
113 	 564 	 gene564 	 0.182
114 	 1293 	 gene1293 	 0.182
115 	 221 	 gene221 	 0.181
116 	 1960 	 gene1960 	 0.179
117 	 169 	 gene169 	 0.179
118 	 732 	 gene732 	 0.179
119 	 399 	 gene399 	 0.179
120 	 1032 	 gene1032 	 0.178
121 	 1894 	 gene1894 	 0.177
122 	 1634 	 gene1634 	 0.176
123 	 1534 	 gene1534 	 0.176
124 	 1836 	 gene1836 	 0.173
125 	 758 	 gene758 	 0.173
126 	 127 	 gene127 	 0.173
127 	 1679 	 gene1679 	 0.173
128 	 1991 	 gene1991 	 0.172
129 	 1867 	 gene1867 	 0.172
130 	 1727 	 gene1727 	 0.171
131 	 1366 	 gene1366 	 0.171
132 	 495 	 gene495 	 0.171
