1 	 1635 	 gene1635 	 0.430
2 	 377 	 gene377 	 0.429
3 	 493 	 gene493 	 0.423
4 	 249 	 gene249 	 0.395
5 	 1843 	 gene1843 	 0.386
6 	 765 	 gene765 	 0.367
7 	 1042 	 gene1042 	 0.356
8 	 1423 	 gene1423 	 0.344
9 	 391 	 gene391 	 0.326
10 	 739 	 gene739 	 0.315
11 	 1772 	 gene1772 	 0.315
12 	 625 	 gene625 	 0.305
13 	 1892 	 gene1892 	 0.304
14 	 812 	 gene812 	 0.293
15 	 979 	 gene979 	 0.292
16 	 245 	 gene245 	 0.291
17 	 267 	 gene267 	 0.291
18 	 1582 	 gene1582 	 0.291
19 	 1494 	 gene1494 	 0.284
20 	 1771 	 gene1771 	 0.284
21 	 897 	 gene897 	 0.280
22 	 964 	 gene964 	 0.276
23 	 513 	 gene513 	 0.275
24 	 1387 	 gene1387 	 0.275
25 	 1256 	 gene1256 	 0.274
26 	 1196 	 gene1196 	 0.273
27 	 1247 	 gene1247 	 0.273
28 	 1897 	 gene1897 	 0.273
29 	 1004 	 gene1004 	 0.269
30 	 1884 	 gene1884 	 0.269
31 	 138 	 gene138 	 0.268
32 	 14 	 gene14 	 0.266
33 	 780 	 gene780 	 0.264
34 	 1014 	 gene1014 	 0.262
35 	 453 	 gene453 	 0.258
36 	 1406 	 gene1406 	 0.257
37 	 1411 	 gene1411 	 0.255
38 	 639 	 gene639 	 0.252
39 	 561 	 gene561 	 0.251
40 	 286 	 gene286 	 0.248
41 	 824 	 gene824 	 0.246
42 	 1967 	 gene1967 	 0.245
43 	 1334 	 gene1334 	 0.245
44 	 137 	 gene137 	 0.240
45 	 1473 	 gene1473 	 0.239
46 	 1614 	 gene1614 	 0.237
47 	 187 	 gene187 	 0.235
48 	 1546 	 gene1546 	 0.234
49 	 1674 	 gene1674 	 0.233
50 	 992 	 gene992 	 0.232
1 	 1635 	 gene1635 	 0.430
2 	 1328 	 gene1328 	 4.692
3 	 1014 	 gene1014 	 4.025
4 	 1370 	 gene1370 	 2.718
5 	 377 	 gene377 	 2.557
6 	 1154 	 gene1154 	 2.325
7 	 1325 	 gene1325 	 2.158
8 	 1004 	 gene1004 	 2.329
9 	 972 	 gene972 	 1.987
10 	 1256 	 gene1256 	 1.993
11 	 1473 	 gene1473 	 1.996
12 	 1546 	 gene1546 	 2.094
13 	 391 	 gene391 	 2.165
14 	 639 	 gene639 	 1.901
15 	 1843 	 gene1843 	 1.899
16 	 493 	 gene493 	 1.830
17 	 979 	 gene979 	 1.778
18 	 419 	 gene419 	 1.737
19 	 1772 	 gene1772 	 1.706
20 	 739 	 gene739 	 1.680
21 	 1196 	 gene1196 	 1.656
22 	 1668 	 gene1668 	 1.672
23 	 766 	 gene766 	 1.666
24 	 625 	 gene625 	 1.681
25 	 765 	 gene765 	 1.664
26 	 698 	 gene698 	 1.662
27 	 1799 	 gene1799 	 1.578
28 	 1042 	 gene1042 	 1.583
29 	 453 	 gene453 	 1.533
30 	 1894 	 gene1894 	 1.550
31 	 1943 	 gene1943 	 1.579
32 	 1353 	 gene1353 	 1.607
33 	 1884 	 gene1884 	 1.562
34 	 1892 	 gene1892 	 1.551
35 	 1549 	 gene1549 	 1.562
36 	 1970 	 gene1970 	 1.519
37 	 1582 	 gene1582 	 1.510
38 	 1912 	 gene1912 	 1.495
39 	 581 	 gene581 	 1.522
40 	 1924 	 gene1924 	 1.523
41 	 1870 	 gene1870 	 1.531
42 	 411 	 gene411 	 1.521
43 	 897 	 gene897 	 1.505
44 	 627 	 gene627 	 1.497
45 	 137 	 gene137 	 1.525
46 	 286 	 gene286 	 1.455
47 	 1334 	 gene1334 	 1.458
48 	 1733 	 gene1733 	 1.462
49 	 229 	 gene229 	 1.471
50 	 1411 	 gene1411 	 1.479
